transcript,callsign,heading,flight_level,command,speaker,event,traffic_callsign
HOTEL HOTEL BRAVO THANK YOU,,,,,unknown,,
DIRECT RATEV LUFTHANSA EIGHT MIKE MIKE THANK YOU,DIRECTRATEVLUFTHANSA8,,,,unknown,,
GOOD MORNING BREAK SHAMROCK SIX FOUR FIVE NOW LINE UP RUNWAY THREE ONE AND CLEARED FOR TAKEOFF WIND ONE TWO ZERO DEGREES FIVE KNOTS,MORNINGBREAKSHAMROCK645,,,climb,controller,,
DIRECT RAPET,,,,,unknown,,
ROGER STANDBY,,,,,pilot,,
PROCEEDING DIRECT TO LYSS HOTEL OSCAR YANKEE AND LOOKING OUT FOR HELICOPTER NEAR INSELSPITAL,,,,,unknown,,
PRAHA RADAR GOOD MORNING OSCAR ECHO GOLF FOXTROT FOXTROT CLIMBING FLIGHT LEVEL THREE ONE ZERO INBOUND ROMEO ALPHA,,,310.0,climb,pilot,,
NUMBER ONE GOLF BRAVO,NUMBER1,,,,controller,,
LOT FIVE TWO FIVE TURN LEFT HEADING ONE SIX ZERO CLEARED FOR ILS APPROACH RUNWAY ONE THREE SPEED ONE SEVEN ZERO,RUNWAY13,160.0,,turn,controller,,
WE HAVE THE TRAFFIC IN SIGHT NAV CHECKER FIVE ONE ONE,SIGHTNAVCHECKER511,,,,unknown,,
TURKISH ONE SEVEN SIX EIGHT CONTACT PRAHA ONE THREE THREE DECIMAL FOUR ONE ZERO GOOD BYE,TURKISH1768,,,,controller,,
CONTACT PRAHA ONE THREE THREE DECIMAL THREE NINER ZERO GOOD BYE,DECIMAL390,,,,unknown,,
RUNWAY TWO FIVE CLEARED TOUCH AND GO,RUNWAY25,,,,controller,,
KLM ONE EIGHT FOUR SIX PASSING LEVEL THREE ONE ZERO,KLM1846,,310.0,,pilot,,
SORRY THREE ONE ZERO IS MAXIMUM I CAN OFFER YOU NOW,SORRY310,,,,controller,,
REDUCING SPEED TWO ZERO ZERO AUSTRIAN SEVEN ZERO SEVEN PAPA,REDUCINGSPEED200,,,,unknown,,
PRAHA APPROACH GOOD MORNING NOR SHUTTLE THREE FIVE EIGHT ZERO FLIGHT LEVEL ONE EIGHT ZERO DESCENDING FLIGHT LEVEL ONE SEVEN ZERO,MORNINGNORSHUTTLE3580,,180.0,descend,pilot,,
RHEIN ONE THREE THREE EIGHT SIX ZERO MARTINAIR ZERO NINER SIX GOOD BYE,MARTINAIR96,,,,unknown,,
DECIMAL,,,,,unknown,,
EMIRATES ONE THREE NINER DESCEND FOUR THOUSAND FEET QNH ONE ZERO TWO ONE CLEARED ILS APPROACH RUNWAY THREE ONE,THOUSANDFEETQNH1021,,,descend,controller,,
QUALITY NINER ONE ROMEO DESCEND FLIGHT LEVEL EIGHT ZERO,QUALITY91,,80.0,descend,controller,,
DESCENDING FLIGHT LEVEL NINER ZERO FIVE FIVE ALPHA TWO,ALPHA2,,9055.0,descend,pilot,,
REDUCING TWO FIVE ZERO CSA THREE SIERRA LIMA,REDUCING250,,,,controller,,
HELLO SWISS FOUR EIGHT SEVEN NOVEMBER RADAR RADAR CONTACT CLIMB FLIGHT LEVEL ONE SIX ZERO,HELLOSWISS487,,160.0,climb,controller,,
LUFTHANSA THREE KILO ALPHA DESCEND FLIGHT LEVEL NINER ZERO,LUFTHANSA3,,90.0,descend,controller,,
AIR BERLIN THREE SIX ZERO FIVE DESCEND FLIGHT LEVEL TWO NINER ZERO RATE ONE THOUSAND FIVE HUNDRED FEET PER MINUTE OR GREATER,AIRBERLIN3605,,290.0,descend,controller,,
PRAHA RADAR GOOD DAY AUSTRIAN EIGHT SEVEN CLIMBING FLIGHT LEVEL TWO EIGHT ZERO,GOODDAYAUSTRIAN87,,280.0,climb,pilot,,
REACH ONE TWO ZERO CONTACT BRATISLAVA ONE THREE FOUR DECIMAL FOUR SEVEN FIVE GOOD BYE,DECIMAL475,,,,unknown,,
HOTEL GOLF ALPHA REPORT UPON ROUTE,,,,,unknown,,
CLIMBING FLIGHT LEVEL THREE ONE ZERO LEVEL BY PISAM CSA FOUR BRAVO ECHO,BYPISAMCSA4,,310.0,climb,pilot,,
RECLEARED AT TOVKA ONE KILO DEPARTURE RUNWAY THREE INITIAL CLIMB FIVE THOUSAND FEET AND REQUEST PUSH AND START EUROTRANS ONE THREE JULIETT,ANDSTARTEUROTRANS13,,,climb,pilot,,
SINGAPORE THREE FOUR SIX CONTACT APRON ONE TWO ONE DECIMAL EIGHT FIVE FIVE,SINGAPORE346,,,,controller,,
TO DOWN TO LEVEL ONE THREE ZERO SKYTRAVEL,TODOWNTO130,,130.0,descend,controller,,
ROGER,,,,,pilot,,
TURN LEFT HEADING ONE NINER ZERO CSA NINER THREE DELTA,CSA93,190.0,,turn,pilot,,
FLIGHT LEVEL THREE FOUR ZERO CHARLIE INDIA GOLF ONE SIX FOUR TWO,CHARLIEINDIAGOLF1642,,340.0,,unknown,,
SPEEDBIRD EIGHT FIVE FOR CLIMB CLEARANCE CONTACT PRAHA ONE THREE THREE DECIMAL THREE NINER ZERO GOOD BYE,SPEEDBIRD85,,,climb,controller,,
CLIMBING FLIGHT LEVEL THREE ONE ZERO GERMANIA SEVEN SIX FOUR FOUR,GERMANIA7644,,310.0,climb,pilot,,
RUNWAY THREE ONE CLEARED TO LAND CIMBER THREE FIVE TWO THREE,TOLANDCIMBER3523,,,,unknown,,
PRAHA GOOD EVENING SWISS ONE THREE FIVE THREE FLIGHT LEVEL THREE HUNDRED,GOODEVENINGSWISS1353,,,,unknown,,
PRAGUE OMANAIR ONE ZERO TWO MAINTAINING LEVEL THREE NINER ZERO,PRAGUEOMANAIR102,,390.0,maintain,pilot,,
STAND FIVE ONE,STAND51,,,,controller,,
ROGER CLIMB FLIGHT LEVEL THREE FOUR ZERO CLIMBING LEVEL THREE FOUR ZERO FIVE THREE EIGHT LIMA,,,340.0,climb,pilot,,
EASY FOUR NINER SIX PAPA RUNWAY THREE ONE CLEARED FOR TAKEOFF WIND ONE NINER ZERO DEGREES FOUR KNOTS TRAFFIC THREE MILES GOOD BYE,FORTAKEOFFWIND190,,,,unknown,,
CONTINUE APPROACH SPEED ONE FIVE ZERO UNTIL FOUR FINNAIR,SPEED150,,,,unknown,,
AFTER HOTEL DELTA OSCAR DIRECT ABRACK NOR SHUTTLE ONE SIX THREE TWO,ABRACKNORSHUTTLE1632,,,,unknown,,
FOUR FOUR LINING UP RUNWAY ONE THREE AND WAIT,LININGUPRUNWAY13,,,climb,controller,,
TURKISH ONE SEVEN SIX NINER RUZYNE TOWER GOOD AFTERNOON CONTINUE APPROACH,TURKISH1769,,,,controller,,
QUALITY NINER ONE ROMEO PRAHA,QUALITY91,,,,controller,,
FLIGHT LEVEL NINER ZERO SWISS FOUR SIX ONE,SWISS461,,90.0,,unknown,,
TO HOLD DELTA FULLY READY FOR AN IMMEDIATE IF CLEARED,,,,maintain,pilot,,
PRAGUE RADAR GOOD EVENING,,,,,unknown,,
PRAHA GOOD EVENING LUFTHANSA SEVEN EIGHT SIX HEAVY OUT OF TWO EIGHT EIGHT CLIMBING THREE ONE ZERO,GOODEVENINGLUFTHANSA786,,,climb,pilot,,
GOOD AFTERNOON AEROFLOT ONE FOUR ONE PRAHA RADAR RADAR CONTACT DESCEND FLIGHT LEVEL ONE THREE ZERO INFORMATION LIMA,GOODAFTERNOONAEROFLOT141,,130.0,descend,controller,,
FIVE ONE ONE,,,,,unknown,,
MIKE REQUEST FLIGHT LEVEL THREE,,,,,pilot,,
HOTEL OSCAR FOXTROT WHISKEY FOUR THOUSAND FIVE HUNDRED FEET REQUEST TO LEAVE FREQUENCY,OSCARFOXTROTWHISKEY4,,,,pilot,,
LEFT TURN AROUND A CITY DIRECT,,,,turn,controller,,
ETHIOPIAN SEVEN ZERO TWO CONTACT RHEIN ONE THREE THREE DECIMAL TWO EIGHT FIVE GOOD BYE,ETHIOPIAN702,,,,controller,,
LUFTHANSA EIGHT PAPA LIMA PRAHA HELLO RADAR CONTACT,LUFTHANSA8,,,,controller,,
RUZYNE TOWER,,,,,unknown,,
ONE THREE THREE THREE NINER ZERO GOOD DAY ONE ONE FIVE QUEBEC,GOODDAY115,,,,unknown,,
TOWER GOOD DAY REX SIXTY FOUR SIXTY FOUR,GOODDAYREX604604,,,,unknown,,
APPROVED,,,,,unknown,,
CONTINUE THREE ONE DONAVIA THREE ZERO FIVE,CONTINUE31,,,,controller,,
LIMAJET TWO FOUR NINER LIMA COPY LINE UP AND WAIT RUNWAY TWO FIVE,ANDWAITRUNWAY25,,,climb,controller,,
AIR NOSTRUM EIGHT ZERO QUEBEC YANKEE TOWER HELLO WIND ZERO SEVEN ZERO DEGREES RIGHT ZERO NINER RUNWAY ONE FOUR CLEARED TO LAND,DEGREESRIGHT9,,,,unknown,,
STANDBY,,,,,unknown,,
KLM ONE THREE FIVE ZERO,KLM1350,,,,controller,,
INDIA PAPA CSA SEVEN ALPHA JULIETT,INDIAPAPACSA7,,,,unknown,,
WARSAW RADAR BELAVIA EIGHT SEVEN ZERO GOOD EVENING FLIGHT LEVEL THREE FIVE ZERO INBOUND BIGU,WARSAWRADARBELAVIA870,,350.0,,unknown,,
BEAIR ONE FOUR ONE PROCEED TO MAKAL,BEAIR141,,,,controller,,
HIGH SPEED,,,,,unknown,,
SKYTRAVEL ONE ZERO THREE FOUR GOOD MORNING RADAR CONTACT CLIMB FLIGHT LEVEL ONE TWO ZERO CLEARED UP LEVEL ONE TWO ZERO SKYTRAVEL,SKYTRAVEL1034,,120.0,climb,controller,,
SWISS ONE TWO FOUR ALPHA GOOD MORNING TOWER CONTINUE APPROACH RUNWAY THREE ONE,RUNWAY31,,,,unknown,,
BEELINE ONE CHARLIE LIMA CONTACT PRAHA ONE TWO SEVEN DECIMAL ONE TWO FIVE GOOD BYE,BEELINE1,,,,controller,,
SQUAWK FIVE ONE SEVEN FOUR,SQUAWK5174,,,,controller,,
NINER KILO YANKEE LEFT,,,,,unknown,,
GOOD MORNING LUFTHANSA CARGO EIGHT FOUR FIVE TWO,MORNINGLUFTHANSACARGO8452,,,,unknown,,
AND SKYTRAVEL SIX EIGHT TWO STAND THREE READY FOR START AND PUSH,ANDSKYTRAVEL682,,,,pilot,,
OSCAR GOLF ECHO CONTINUE TO FINAL RUNWAY TWO TWO TRAFFIC IS JUST NOW BEFORE SHORTLY BEFORE LANDING,TOFINALRUNWAY22,,,,unknown,,
THREE ZERO THREE REDUCE SPEED ONE FIVE ZERO KNOTS OR LESS,REDUCESPEED150,,,,unknown,,
CSA EIGHT EIGHT ONE REDUCE TWO ONE ZERO KNOTS PLEASE,REDUCE210,,,,unknown,,
GERMANIA EIGHT NINER SEVEN ZERO PRAHA RADAR CONTACT CLIMB FLIGHT LEVEL THREE FOUR ZERO,GERMANIA8970,,340.0,climb,controller,,
TWO LANDINGS,,,,,unknown,,
GOOD MORNING SUNEXPRESS NINER FIVE SEVEN PRAHA RADAR CONTACT,,,,,unknown,,
CLIMB TO FLIGHT LEVEL ONE SIX ZERO,TO160,,160.0,climb,pilot,,
SUNTURK NINER FOUR SEVEN TOWER TAXIWAY JULIETT CROSS RUNWAY TWO EIGHT CONTACT APRON ONE TWO ONE DECIMAL SEVEN FIVE FIVE BYE,JULIETTCROSSRUNWAY28,,,,unknown,,
ONE THREE FOUR DECIMAL NINER TWO FIVE AIR INDIA ONE TWO ZERO GOOD DAY,AIRINDIA120,,,,unknown,,
RUZYNE TOWER,,,,,unknown,,
CATHAY ZERO SIX EIGHT AFTER PASSING OMELO PROCEED ROMIS,CATHAY68,,,,pilot,,
CLIMBING FLIGHT LEVEL THREE FIVE ZERO CSA FOUR BRAVO ECHO,CSA4,,350.0,climb,pilot,,
GOOD MORNING LUFTHANSA SIX ONE THREE PRAHA RADAR CONTACT PROCEED TO RAPET,GOODMORNINGLUFTHANSA613,,,,unknown,,
RIGHT HEADING ONE NINER ZERO NOR SHUTTLE THREE FIVE EIGHT,NORSHUTTLE358,190.0,,turn,controller,,
THREE FOUR ZERO CLEARED FOR ILS THREE ONE CALL YOU ESTABLISH CSA SIX,YOUESTABLISHCSA6,,,,unknown,,
CLIMB FLIGHT LEVEL ONE SIX ZERO CSA,,,160.0,climb,pilot,,
AIR MALTA FIVE THREE EIGHT CONTACT RUZYNE GROUND ONE TWO ONE DECIMAL NINER BYE BYE ONE TWO ONE DECIMAL NINER MALTA FIVE,AIRMALTA538,,,,unknown,,
WILCO NAV CHECKER CLIMBING ONE SEVEN THOUSAND WILL REPORT,,,,climb,pilot,,
DIRECT VARIK CSA FOUR VICTOR PAPA,DIRECTVARIKCSA4,,,,unknown,,
DESCEND FLIGHT LEVEL ONE HUDRED CSA,,,,descend,pilot,,
LOT THREE FIVE FOUR CONTACT WARSAW ONE THREE FOUR DECIMAL EIGHT SEVEN FIVE GOOD BYE,DECIMAL875,,,,unknown,,
THREE TWO ZERO,,,,,unknown,,
TRANSAVIA SEVEN FIVE ZERO PRAHA RADAR GOOD EVENING RADAR CONTACT NEW SQUAWK ONE FOUR SEVEN SIX,TRANSAVIA750,,,,controller,,
ROGER AFTER POSITION OMELO DIRECT POSITION ODNEM,,,,,pilot,,
CSA SEVEN THREE TWO TWO TURN LEFT TO VENOX,CSA7322,,,turn,controller,,
GERMANIA ONE THREE FOUR FIVE CONTACT RHEIN ONE THREE THREE DECIMAL TWO EIGHT FIVE GOOD BYE,GERMANIA1345,,,,controller,,
FLIGHT LEVEL THREE FOUR ZERO RYANAIR FIVE JULIETT UNIFORM,RYANAIR5,,340.0,,unknown,,
COPIED,,,,,unknown,,
LOT FIVE TWO PAPA TURN RIGHT HEADING TWO FOUR ZERO HEADING TWO FOUR ZERO FIVE TWO PAPA,LOT52,240.0,,turn,controller,,
ROGER CONTACT RUZYNE TOWER ONE ONE EIGHT DECIMAL ONE GOOD DAY,DECIMAL1,,,,pilot,,
SIX SEVEN,,,,,unknown,,
PRESENT HEADING AND DESCENDING ALTITUDE FOUR THOUSAND QNH ONE ZERO TWO TWO,THOUSANDQNH1022,,,descend,pilot,,
CSA FOUR EIGHT ONE RUNWAY ONE THREE CLEARED TO LAND,RUNWAY13,,,,unknown,,
SHAMROCK SIX FOUR FOUR DESCEND TO ALTITUDE,SHAMROCK644,,,descend,controller,,
PRAHA RADAR RADAR CONTACT DESCEND FLIGHT LEVEL ONE THREE ZERO,,,130.0,descend,controller,,
KILO BRAVO VICTOR BERN,,,,,unknown,,
FEDEX ONE REQUEST FLIGHT LEVEL THREE SIX ZERO,FEDEX1,,360.0,,pilot,,
REPORTED ONE ZERO MILES NAV CHECKER FIVE ONE ONE,MILESNAVCHECKER511,,,,unknown,,
PRAHA GOOD DAY AUSTRIAN SEVEN ZERO FOUR,GOODDAYAUSTRIAN704,,,,unknown,,
TOWER GOOD EVENING QATARI SIX TANGO PAPA ILS THREE FOUR LEFT,GOODEVENINGQATARI6,,,,unknown,,
AIR BERLIN EIGHT SEVEN VICTOR DESCEND TO FLIGHT LEVEL ONE SEVEN ZERO,AIRBERLIN87,,170.0,descend,controller,,
HOTEL ECHO XRAY WIND TWO SEVEN ZERO DEGREES FIVE KNOTS RUNWAY TWO FIVE CLEARED TO LAND,ECHOXRAYWIND270,,,,unknown,,
TWO FOUR SEVEN CLIMBING TWO EIGHT ZERO,,,,climb,pilot,,
AIRFRANS ONE THREE TWO REDUCE SPEED ONE SIX ZERO KNOTS TILL FOUR MILES AND CONTACT RUZYNE TOWER ONE ONE EIGHT DECIMAL ONE GOOD BYE,REDUCESPEED160,,,,unknown,,
CSA TWO ZERO FIVE ZERO TAXI TO HOLDING POINT RUNWAY ONE THREE VIA ALPHA ONE ALPHA DELTA,HOLDINGPOINTRUNWAY13,,,maintain,controller,,
TWO SEVEN ZERO EIGHT TO RIGHT HEADING THREE ONE ZERO CSA EIGHT THREE FIVE LEAVING HOLDING,CSA835,310.0,,maintain,pilot,,
CLIMBING FLIGHT LEVEL THREE FOUR ZERO CSA EIGHT ZERO FOUR,CSA804,,340.0,climb,pilot,,
SKYTRAVEL ONE ZERO ONE ONE REACHING ONE HUNDRED,SKYTRAVEL1011,,,,controller,,
ONE ROMEO ARRIVAL,,,,,unknown,,
ONE FOUR FIVE,,,,,unknown,,
LUFTHANSA SEVEN EIGHT SEVEN REPORT FURTHER REDUCING,LUFTHANSA787,,,,controller,,
AUSTRIAN ONE SEVEN TWO PAPA HELLO PRAHA RADAR CONTACT DESCEND FLIGHT LEVEL TWO NINER ZERO LEVEL BY,AUSTRIAN172,,290.0,descend,controller,,
LUFTHANSA SEVEN ONE FOUR INITIALLY CLIMB FLIGHT LEVEL THREE TWO ZERO,LUFTHANSA714,,320.0,climb,controller,,
FOXTROT LIMA HELLO AGAIN TAXIWAY JULIETT CROSS RUNWAY TWO EIGHT CONTACT APRON ONE TWO ONE DECIMAL SEVEN FIVE FIVE GOOD DAY,JULIETTCROSSRUNWAY28,,,,unknown,,
SUNTURK EIGHT FOUR FOUR PROCEED DIRECT DEGET PROCEED DIRECT DEGET SUNTURK EIGHT FOUR FOUR THANK YOU VERY MUCH,DIRECTDEGETSUNTURK844,,,,unknown,,
FOUR THREE TWO,,,,,unknown,,
AND SPEED ONE EIGHT ZERO,ANDSPEED180,,,,unknown,,
AIRFRANS ONE SEVEN EIGHT TWO CONTACT RUZYNE GROUND ONE TWO ONE DECIMAL NINER GOOD BYE,AIRFRANS1782,,,,controller,,
TAXIWAY JULIETT CROSS RUNWAY TWO EIGHT AFTER CROSSING ONE TWO ONE SEVEN FIVE FIVE TURKISH SIX FOXTROT LIMA,JULIETTCROSSRUNWAY28,,,,unknown,,
AIRFRANS TWO FOUR EIGHT TWO CONTINUE PRESENT HEADING AND YOU ARE CROSSED LOCALIZER BE ESTABLISHED FROM THE LEFT SIDE FOR YOU EXTENSION,AIRFRANS2482,,,turn,pilot,,
GERMAN WINGS SEVEN PAPA TURN LEFT HEADING,GERMANWINGS7,,,turn,controller,,
OSCAR KILO MIKE CHARLIE CHARLIE AFTER THE LOW APPROACH CLIMB STRAIGHT AHEAD FOUR THOUSAND FEET,STRAIGHTAHEAD4,,,climb,controller,,
LUFTHANSA THREE LIMA JULIETT CONTACT PRAHA ONE TWO SEVEN DECIMAL ONE TWO FIVE GOOD BYE,LUFTHANSA3,,,,controller,,
REX SIXTY EIGHT SIXTY EIGHT CONTACT DEPARTURE,REX608608,,,,controller,,
YES CALL US ON ONE THREE THREE THREE NINER ZERO,CALLUSON13339,,,,unknown,,
RUSSIA TWO TWO ONE CLEARED FOR ILS APPROACH THREE ONE REPORT LOCALIZER ESTABLISHED OK CLEARED,RUSSIA221,,,,pilot,,
SIX THREE TWO ONE CONTACT BRATISLAVA ONE THREE FOUR,,,,,unknown,,
SPEEDBIRD TWO ZERO UNIFORM REDUCE SPEED ONE FIVE ZERO KNOTS,UNIFORMREDUCESPEED150,,,,unknown,,
CLIMB FLIGHT LEVEL THREE THREE ZERO CSA EIGHT FIVE SIX,CSA856,,330.0,climb,pilot,,
AUSTRIAN SEVEN ZERO NINER DESCEND FLIGHT LEVEL NINER ZERO DESCENDING FLIGHT LEVEL NINER ZERO AUSTRIAN SEVEN ZERO NINER,AUSTRIAN709,,90.0,descend,pilot,,
AIRFRANS TWO FOUR EIGHT TWO SPEED TWO THREE ZERO,AIRFRANS2482,,,,controller,,
LINE UP THREE ONE AUSTRIAN SEVEN ZERO EIGHT PAPA,AUSTRIAN708,,,climb,controller,,
EVENING AIR MALTA FIVE,EVENINGAIRMALTA5,,,,unknown,,
CSA FIVE SIX ONE SPEED TWO ZERO ZERO KNOTS,SPEED200,,,,unknown,,
ONE TWO ZERO TWO SEVEN,,,,,unknown,,
NOVEMBER ALPHA SIERRA TAXI TO HOLDING POINT DELTA,,,,maintain,controller,,
THOMPSON TWO ONE FIVE PRAHA GOOD EVENING RADAR CONTACT PROCEED KEMAD,THOMPSON215,,,,controller,,
CLIMBING TO FLIGHT LEVEL ONE FOUR ZERO CSA,TO140,,140.0,climb,pilot,,
LUFTHANSA TWO UNIFORM XRAY TURN LEFT HEADING ZERO FOUR ZERO,LUFTHANSA2,40.0,,turn,controller,,
JUMP RUN EIGHT ZERO TWO CLIMB TO FLIGHT LEVEL ONE FIVE ZERO,JUMPRUN802,,150.0,climb,controller,,
AIR BERLIN NINER ONE FIVE VICTOR SQUAWK ONE FOUR SEVEN TWO,VICTORSQUAWK1472,,,,unknown,,
JOB AIR ZERO SIX ONE RUNWAY THREE ONE CLEARED FOR TAKEOFF WIND ONE NINER ZERO DEGREES SIX KNOTS,FORTAKEOFFWIND190,,,,unknown,,
SPEEDBIRD THREE ZERO CHARLIE TURN RIGHT I SAY AGAIN TURN RIGHT DIRECT TO RAPET,SPEEDBIRD30,,,turn,controller,,
SIX PRAHA HELLO RADAR CONTACT CLIMB TO FLIGHT LEVEL THREE,TO3,,,climb,controller,,
CLIMB TO FLIGHT LEVEL ONE SIX ZERO SKY TRAVEL FOUR THREE TWO PAPA,SKYTRAVEL432,,160.0,climb,pilot,,
DELTA TANGO TANGO TAXI VIA ALPHA ECHO SIX HOLD SHORT OF RUNWAY ONE SIX,SHORTOFRUNWAY16,,,maintain,controller,,
THREE FIVE TANGO HOTEL ALPHA WHISKEY,,,,,unknown,,
AEROFLOT ONE TWO ONE DESCEND FLIGHT LEVEL TWO NINER ZERO ONE THOUSAND OR GREATER,AEROFLOT121,,2901.0,descend,controller,,
DIRECT AGAVA SWISS TWO FOUR THREE NOVEMBER,DIRECTAGAVASWISS243,,,,unknown,,
EIGHT ROMEO,,,,,unknown,,
DESCENDING TO FLIGHT LEVEL NINER ZERO CZECH FORCE,TO90,,90.0,descend,pilot,,
CSA FOUR DELTA ROMEO,CSA4,,,,controller,,
GOOD AFTERNOON LUFTHANSA SEVEN LIMA ECHO STAND ONE SEVEN REQUEST,GOODAFTERNOONLUFTHANSA7,,,,pilot,,
PUSH BACK IS APPROVED QUALITY NINER,ISAPPROVEDQUALITY9,,,,unknown,,
SPEEDBIRD EIGHT FIVE SIX DESCEND FLIGHT LEVEL SEVEN ZERO,SPEEDBIRD856,,70.0,descend,controller,,
FINNAIR EIGHT ZERO THREE MIKE DESCEND TO FLIGHT LEVEL TWO,FINNAIR803,,,descend,controller,,
RADAR ONE TWO ZERO TWO SEVEN FIVE AIRFRANS ONE ZERO EIGHT THREE BYE BYE,AIRFRANS1083,,,,unknown,,
PRESENT HEADING RUNWAY ONE THREE DOWN FOUR THOUSAND FEET ONE ZERO ONE EIGHT EASY FIVE FOUR NINER TWO,THOUSANDFEET1018,,,descend,controller,,
CLEARED TO LAND RUNWAY ONE THREE CSA SEVEN KILO GOLF,TOLANDRUNWAY13,,,,unknown,,
CSA NINER THREE ZERO AFTER PASSING TEN DME PROCEED TO LIKSA,CSA930,,,,pilot,,
OK WE TRY THREE FOUR FOUR SEVENTY FIVE FOUR CHARLIE KILO BYE BYE BYE BYE,OKWETRY344705,,,,unknown,,
LIMA MIKE JULIETT TWO FOUR NINER LIMA CLIMB FLIGHT LEVEL ONE FOUR ZERO MAINTAIN CONTACT GENEVA ARRIVAL ONE THREE SIX TWO FIVE FIVE,LIMAMIKEJULIETT249,,140.0,climb,controller,,
HOTEL INDIA ALPHA UNTIL FOUR MILES MAINTAIN ONE HUNDRED KNOTS OR GREATER,INDIAALPHAUNTIL4,,,maintain,controller,,
HOTEL BRAVO CHARLIE QUEBEC SIERRA WHEN DEPARTURE LOW DEFINED CLIMB TO FLIGHT LEVEL NINER ZERO,TO90,,90.0,climb,controller,,
HOTEL GOLF NOVEMBER ZIMI IS NOT AVAILABLE ANYMORE ROMEO EIGHT TWO IS NOW ACTIVE DO YOU WANT TO PROCEED TO SAVA INSTEAD,AVAILABLEANYMOREROMEO82,,,,unknown,,
OSCAR KILO DELTA SIERRA JULIETT RUNWAY THREE ONE CLEARED TO LAND WIND ZERO SEVEN ZERO DEGREES SEVEN KNOTS,SIERRAJULIETTRUNWAY31,,,,unknown,,
AIR BERLIN NINER TWO SIX MIKE CROSS ABRACK AT LEVEL TWO NINER ZERO,CROSSABRACKAT290,,290.0,,unknown,,
FLIGHT LEVEL THREE TWO ZERO LOT THREE FOUR THREE,LOT343,,320.0,,unknown,,
SEVEN FOUR THREE,,,,,unknown,,
THREE FIVE DECIMAL THREE FIVE LOT THREE FIVE ECHO,DECIMAL35,,,,unknown,,
READY FOR HIGHER,,,,,pilot,,
GOLF RUNWAY ZERO SEVEN QNH ONE ZERO ONE EIGHT,GOLFRUNWAY7,,,,unknown,,
FOXTROT DELTA UNIFORM REPORT NOVEMBER WHISKEY WIND TWO SEVEN ZERO DEGREES ONE ZERO KNOTS RUNWAY TWO FIVE CLEARED FOR TAKEOFF,NOVEMBERWHISKEYWIND270,,,,unknown,,
SPEEDBIRD EIGHT FIVE SIX CONTINUE DESCEND FLIGHT LEVEL ONE ZERO ZERO,SPEEDBIRD856,,100.0,descend,controller,,
GOOD EVENING UPS TWO NINER FIVE RUZYNE TOWER RUNWAY TWO FOUR CLEARED TO LAND WIND TWO THREE ZERO DEGREES ONE THREE KNOTS,GOODEVENINGUPS295,,,,unknown,,
THANK YOU CLIMB LEVEL THREE HUNDRED AUSTRIAN ONE SEVEN ONE JULIETT,HUNDREDAUSTRIAN171,,,climb,controller,,
ALPHA ROMEO TANGO ONE SEVEN PAPA PROCEED DIRECT TO KENOK THEN INTERCEPT LOCALIZER RUNWAY THREE ONE,INTERCEPTLOCALIZERRUNWAY31,,,,unknown,,
ROGER SO CONTINUE VIA LIMA,,,,,pilot,,
EIGHT JULIETT ECHO,,,,,unknown,,
TIME AIR ONE SIX ONE TWO PAPA REDUCE ONE FIFTY OR LESS,PAPAREDUCE150,,,,unknown,,
